species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	NPY	Beta cells	PYY4	0.015	neuropeptide Y	protein-coding gene	NA	Endoderm	Pancreas	0.136364	0.238095	0.00473186	0.0164704
Hs	INS	Beta cells	IDDM2	0.009	insulin	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0470032	0.0
Mm Hs	RIMS1	Beta cells	KIAA0340|RIM1|RAB3IP2|CORD7	0.01	regulating synaptic membrane exocytosis 1	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.00126183	0.0
Mm Hs	MAFA	Beta cells	RIPE3b1|hMafA	0.002	MAF bZIP transcription factor A	protein-coding gene	1	Endoderm	Pancreas	0.5	0.666667	0.000315457	0.000193013
Mm Hs	EFNA5	Beta cells	AF1|LERK7|EPLG7	0.029	ephrin A5	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0238095	0.0249211	0.0299813
Mm Hs	LMX1A	Beta cells	LMX1.1|LMX1	0.003	LIM homeobox transcription factor 1 alpha	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.000630915	0.0034099
Mm Hs	NKX2-2	Beta cells	NKX2.2|NKX2B	0.002	NK2 homeobox 2	protein-coding gene	1	Endoderm	Pancreas	0.727273	0.119048	0.00536278	0.000321688
Mm Hs	NKX6-1	Beta cells	Nkx6.1|NKX6A	0.006	NK6 homeobox 1	protein-coding gene	1	Endoderm	Pancreas	0.772727	0.785714	0.00504732	0.00315254
Mm Hs	PAX4	Beta cells	MODY9	0.001	paired box 4	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0	0.0010294
Mm Hs	IAPP	Beta cells	AMYLIN	0.023	islet amyloid polypeptide	protein-coding gene	1	Endoderm	Pancreas	1.0	1.0	0.0353312	0.0179502
Mm Hs	PCSK2	Beta cells	SPC2|NEC2	0.032	proprotein convertase subtilisin/kexin type 2	protein-coding gene	1	Endoderm	Pancreas	0.909091	0.857143	0.018612	0.0326192
Mm Hs	G6PC2	Beta cells	IGRP	0.004	glucose-6-phosphatase catalytic subunit 2	protein-coding gene	1	Endoderm	Pancreas	0.863636	0.785714	0.00536278	0.000128675
Mm Hs	SLC30A8	Beta cells	ZnT-8	0.005	solute carrier family 30 member 8	protein-coding gene	1	Endoderm	Pancreas	0.909091	0.0	0.00914827	0.0
Mm	ERO1LB	Beta cells	NA	0.007	ERO1-like beta (S. cerevisiae)	protein coding gene	1	Endoderm	Pancreas	0.0	0.785714	0.0	0.00714148
Mm Hs	PCSK1	Beta cells	PC1|NEC1	0.008	proprotein convertase subtilisin/kexin type 1	protein-coding gene	1	Endoderm	Pancreas	0.818182	0.785714	0.00378549	0.00636943
Mm Hs	GJD2	Beta cells	CX36|GJA9	0.005	gap junction protein delta 2	protein-coding gene	1	Endoderm	Pancreas	0.590909	0.452381	0.00189274	0.00379592
Mm Hs	SCGN	Beta cells	SECRET|DJ501N12.8|SEGN|CALBL	0.014	secretagogin, EF-hand calcium binding protein	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0230284	0.0
Mm Hs	IGF2	Beta cells	FLJ44734|IGF-II|C11orf43	0.013	insulin like growth factor 2	protein-coding gene	1	Endoderm	Pancreas	0.0454545	0.0	0.0463722	0.000900727
Mm Hs	SYT13	Beta cells	KIAA1427	0.029	synaptotagmin 13	protein-coding gene	1	Endoderm	Pancreas	0.590909	0.0	0.00283912	0.0
Mm Hs	FFAR2	Beta cells	FFA2R|GPR43	0.01	free fatty acid receptor 2	protein-coding gene	1	Endoderm	Pancreas	0.0	0.428571	0.0	0.0111304
Mm Hs	NPTX2	Beta cells	NA	0.008	neuronal pentraxin 2	protein-coding gene	1	Endoderm	Pancreas	0.818182	0.0	0.0126183	0.00688413
Mm Hs	PFKFB2	Beta cells	NA	0.001	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	protein-coding gene	1	Endoderm	Pancreas	0.272727	0.0714286	0.00315457	0.000193013
Mm Hs	EDARADD	Beta cells	NA	0.001	EDAR associated death domain	protein-coding gene	1	Endoderm	Pancreas	0.0454545	0.0	0.0022082	0.000900727
Mm Hs	HOPX	Beta cells	LAGY|OB1|NECC1|SMAP31	0.033	HOP homeobox	protein-coding gene	1	Endoderm	Pancreas	0.863636	0.333333	0.0864353	0.0214244
Mm Hs	SH3GL2	Beta cells	SH3P4|SH3D2A|CNSA2|EEN-B1	0.025	SH3 domain containing GRB2 like 2, endophilin A1	protein-coding gene	1	Endoderm	Pancreas	0.0454545	0.0	0.0022082	0.0
Mm Hs	ADCYAP1	Beta cells	NA	0.003	adenylate cyclase activating polypeptide 1	protein-coding gene	1	Endoderm	Pancreas	0.772727	0.0	0.000946372	0.00257351
Hs	SCGB2A1	Beta cells	UGB3|LPHC|MGC71973|MGB2	0.003	secretoglobin family 2A member 1	protein-coding gene	1	Endoderm	Pancreas	0.818182	0.0	0.0119874	0.0
Mm Hs	CASR	Beta cells	FHH|NSHPT|GPRC2A|HHC|HHC1	0.001	calcium sensing receptor	protein-coding gene	1	Endoderm	Pancreas	0.272727	0.0952381	0.000315457	0.000257351
Mm Hs	MAFB	Beta cells	KRML	0.053	MAF bZIP transcription factor B	protein-coding gene	1	Endoderm	Pancreas	0.772727	0.357143	0.0542587	0.0520492
Mm Hs	PAX6	Beta cells	D11S812E|AN2	0.049	paired box 6	protein-coding gene	1	Endoderm	Pancreas	0.909091	0.785714	0.00820189	0.0570032
Mm Hs	NEUROD1	Beta cells	BETA2|BHF-1|NeuroD|bHLHa3|MODY6|NEUROD	0.038	neuronal differentiation 1	protein-coding gene	1	Endoderm	Pancreas	0.909091	0.785714	0.0170347	0.0409831
Mm Hs	ISL1	Beta cells	Isl-1|ISLET1	0.028	ISL LIM homeobox 1	protein-coding gene	1	Endoderm	Pancreas	0.681818	0.738095	0.00883281	0.0294666
Mm Hs	TGFBR3	Beta cells	betaglycan|BGCAN	0.019	transforming growth factor beta receptor 3	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0164038	0.0
Mm Hs	SMAD9	Beta cells	SMAD8|SMAD8/9|MADH9	0.002	SMAD family member 9	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.00851735	0.0
Mm Hs	SIX3	Beta cells	HPE2	0.014	SIX homeobox 3	protein-coding gene	1	Endoderm	Pancreas	0.0454545	0.0	0.00283912	0.0
Mm Hs	SIX2	Beta cells	NA	0.001	SIX homeobox 2	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.00189274	0.0
Mm Hs	BMP5	Beta cells	NA	0.002	bone morphogenetic protein 5	protein-coding gene	1	Endoderm	Pancreas	0.0909091	0.0	0.00599369	0.000772052
Mm Hs	PIR	Beta cells	NA	0.011	pirin	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0160883	0.00920028
Mm Hs	STXBP5	Beta cells	tomosyn|LLGL3	0.004	syntaxin binding protein 5	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.00283912	0.0
Mm Hs	DLK1	Beta cells	FA1|pG2|Pref-1|ZOG|Delta1	0.055	delta like non-canonical Notch ligand 1	protein-coding gene	1	Endoderm	Pancreas	0.681818	0.333333	0.0416404	0.0572605
Mm Hs	MEG3	Beta cells	GTL2|NCRNA00023|LINC00023|onco-lncRNA-83	0.288	maternally expressed 3	non-coding RNA	1	Endoderm	Pancreas	0.909091	0.833333	0.109779	0.333591
Mm Hs	RGS16	Beta cells	A28-RGS14|RGS-r	0.01	regulator of G protein signaling 16	protein-coding gene	1	Endoderm	Pancreas	0.136364	0.0	0.0195584	0.0
Mm Hs	RELN	Cajal-Retzius cells	RL|PRO1598	0.018	reelin	protein-coding gene	1	Ectoderm	Brain	0.0	0.0	0.00344612	0.0
Mm Hs	DIABLO	Cajal-Retzius cells	SMAC|DIABLO-S|FLJ25049|FLJ10537|DFNA64	0.026	diablo IAP-binding mitochondrial protein	protein-coding gene	NA	Ectoderm	Brain	0.0	0.882023	0.0	0.0231713
Mm Hs	ST3GAL5	Cajal-Retzius cells	ST3GalV|SIATGM3S|SIAT9	0.04	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0128446	0.0
Mm Hs	ISOC1	Cajal-Retzius cells	CGI-111	0.022	isochorismatase domain containing 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0505618	0.0200501	0.0216785
Mm Hs	SMOC2	Cajal-Retzius cells	SMAP2	0.026	SPARC related modular calcium binding 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0178571	0.0
Mm Hs	DYNC1I1	Cajal-Retzius cells	DNCIC1|DNCI1	0.022	dynein cytoplasmic 1 intermediate chain 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.780899	0.00250627	0.0182385
Mm Hs	NHLH2	Cajal-Retzius cells	bHLHa34|HEN2	0.021	nescient helix-loop-helix 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.904494	0.00156642	0.0159019
Mm Hs	CLSTN2	Cajal-Retzius cells	CSTN2|CS2|FLJ39113|CDHR13	0.014	calsyntenin 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.848315	0.00219298	0.00798338
Mm Hs	TMEM163	Cajal-Retzius cells	DKFZP566N034|SV31	0.027	transmembrane protein 163	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.000626566	0.0
Mm Hs	CACNA2D2	Cajal-Retzius cells	KIAA0558	0.027	calcium voltage-gated channel auxiliary subunit alpha2delta 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.938202	0.00125313	0.0238852
Mm Hs	CIB2	Cajal-Retzius cells	DFNB48|USH1J	0.021	calcium and integrin binding family member 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.320225	0.0018797	0.022652
Mm	LHX1OS	Cajal-Retzius cells	NA	0.013	LIM homeobox 1, opposite strand	lincRNA gene	NA	Ectoderm	Brain	0.0	0.893258	0.0	0.00636075
Mm Hs	NDNF	Cajal-Retzius cells	FLJ23191|C4orf31	0.017	neuron derived neurotrophic factor	protein-coding gene	NA	Ectoderm	Brain	0.0	0.910112	0.00626566	0.0102551
Mm Hs	LINGO1	Cajal-Retzius cells	FLJ14594|LERN1|LRRN6A	0.019	leucine rich repeat and Ig domain containing 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0505618	0.0018797	0.0231713
Mm Hs	LNPK	Cajal-Retzius cells	Ul|LNP1|KIAA1715	0.031	lunapark, ER junction formation factor	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0505618	0.0238095	0.0333615
Mm Hs	RNF138	Cajal-Retzius cells	STRIN|NARF	0.053	ring finger protein 138	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0742481	0.0
Mm Hs	TMEM170B	Cajal-Retzius cells	NA	0.027	transmembrane protein 170B	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0	0.0
Mm Hs	ABCC5	Cajal-Retzius cells	MRP5|SMRP|EST277145|MOAT-C	0.044	ATP binding cassette subfamily C member 5	protein-coding gene	NA	Ectoderm	Brain	0.0	0.219101	0.00438596	0.0520543
Mm Hs	CNRIP1	Cajal-Retzius cells	DKFZP566K1924|CRIP1|CRIP1a|CRIP1b|C2orf32	0.031	cannabinoid receptor interacting protein 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0786517	0.0228697	0.0328422
Mm Hs	EBF3	Cajal-Retzius cells	COE3|DKFZp667B0210	0.012	early B cell factor 3	protein-coding gene	1	Ectoderm	Brain	0.0	0.308989	0.000626566	0.0118777
Mm Hs	FUT9	Cajal-Retzius cells	Fuc-TIX	0.039	fucosyltransferase 9	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0674157	0.0018797	0.0478354
Mm Hs	PABPN1	Cajal-Retzius cells	PAB2|OPMD	0.05	poly(A) binding protein nuclear 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0337079	0.10307	0.0345947
Mm Hs	GNL3L	Cajal-Retzius cells	FLJ10613|GNL3B	0.053	G protein nucleolar 3 like	protein-coding gene	NA	Ectoderm	Brain	0.0	0.174157	0.000313283	0.0649056
Mm Hs	NUDT2	Cajal-Retzius cells	APAH1	0.03	nudix hydrolase 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.106742	0.0366541	0.0253132
Mm Hs	SLC25A46	Cajal-Retzius cells	NA	0.045	solute carrier family 25 member 46	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0263158	0.0
Mm Hs	NSMCE3	Cajal-Retzius cells	HCA4|MAGEG1|MAGEL3|NSE3|NDNL2	0.048	NSE3 homolog, SMC5-SMC6 complex component	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0842697	0.0222431	0.0534173
Mm Hs	DACH1	Cajal-Retzius cells	DACH	0.013	dachshund family transcription factor 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.286517	0.0275689	0.00798338
Mm Hs	FAM69B	Cajal-Retzius cells	MGC20262|C9orf136	0.034	family with sequence similarity 69 member B	protein-coding gene	NA	Ectoderm	Brain	0.0	0.146067	0.000626566	0.0416045
Mm Hs	HOMER2	Cajal-Retzius cells	CPD|Cupidin|Vesl-2|HOMER-2B|HOMER-2|HOMER-2A|DFNA68	0.022	homer scaffold protein 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.241573	0.0100251	0.0222626
Mm Hs	MAP9	Cajal-Retzius cells	ASAP|FLJ21159	0.037	microtubule associated protein 9	protein-coding gene	NA	Ectoderm	Brain	0.0	0.140449	0.0335213	0.0378399
Mm Hs	DNM3	Cajal-Retzius cells	KIAA0820	0.043	dynamin 3	protein-coding gene	NA	Ectoderm	Brain	0.0	0.151685	0.00313283	0.0525086
Mm Hs	LZTFL1	Cajal-Retzius cells	BBS17	0.026	leucine zipper transcription factor like 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0224719	0.0181704	0.0287532
Mm Hs	FSD1	Cajal-Retzius cells	MGC3213|MIR1	0.015	fibronectin type III and SPRY domain containing 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.157303	0.0175439	0.0122022
Mm Hs	TCEAL1	Cajal-Retzius cells	pp21|SIIR|WEX9	0.017	transcription elongation factor A like 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0178571	0.0
Mm Hs	RAB11FIP2	Cajal-Retzius cells	KIAA0941|nRip11|Rab11-FIP2	0.04	RAB11 family interacting protein 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.00219298	0.0
Mm Hs	BARHL2	Cajal-Retzius cells	NA	0.004	BarH like homeobox 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.168539	0.0	0.00331018
Mm Hs	TRIM44	Cajal-Retzius cells	DIPB|MC7	0.055	tripartite motif containing 44	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0679825	0.0
Mm Hs	SLC17A6	Cajal-Retzius cells	DNPI|VGLUT2	0.016	solute carrier family 17 member 6	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.000313283	0.0
Mm Hs	B3GALT1	Cajal-Retzius cells	beta3Gal-T1	0.005	beta-1,3-galactosyltransferase 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.106742	0.00313283	0.00376452
Mm Hs	SLITRK5	Cajal-Retzius cells	bA364G4.2|KIAA0918|LRRC11	0.009	SLIT and NTRK like family member 5	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0	0.0
Mm Hs	ERC2	Cajal-Retzius cells	CAST1|KIAA0378|SPBC110|Spc110|ELKSL	0.03	ELKS/RAB6-interacting/CAST family member 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.325843	0.000313283	0.0340754
Mm Hs	NBEA	Cajal-Retzius cells	KIAA1544|BCL8B|FLJ10197|LYST2	0.032	neurobeachin	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0393258	0.00469925	0.0387486
Mm Hs	SLC25A36	Cajal-Retzius cells	FLJ10618|PNC2	0.059	solute carrier family 25 member 36	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0755013	0.0
Mm Hs	ZDBF2	Cajal-Retzius cells	FLJ45338|KIAA1571|Slx9	0.018	zinc finger DBF-type containing 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.000313283	0.0
Mm Hs	MAPK8	Cajal-Retzius cells	JNK|JNK1|SAPK1|PRKM8	0.023	mitogen-activated protein kinase 8	protein-coding gene	NA	Ectoderm	Brain	0.0	0.393258	0.0194236	0.0207049
Mm Hs	GDF5	Cajal-Retzius cells	CDMP1|BMP14	0.004	growth differentiation factor 5	protein-coding gene	NA	Ectoderm	Brain	0.0	0.483146	0.0	0.0
Mm Hs	ACHE	Cajal-Retzius cells	YT	0.016	acetylcholinesterase (Cartwright blood group)	protein-coding gene	NA	Ectoderm	Brain	0.0	0.410112	0.00469925	0.0150581
Mm Hs	CCM2	Cajal-Retzius cells	MGC4607|OSM|C7orf22	0.052	CCM2 scaffold protein	protein-coding gene	NA	Ectoderm	Brain	0.0	0.292135	0.0435464	0.0477705
Mm Hs	WRAP73	Cajal-Retzius cells	WDR8	0.01	WD repeat containing, antisense to TP73	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.00657895	0.0
None	FAM65B	Cajal-Retzius cells	NA	0.006	NA	NA	NA	Ectoderm	Brain	0.0	0.157303	0.0	0.00590641
Mm Hs	NRG1	Cajal-Retzius cells	HRG|NDF|GGF|NRG1-IT2	0.012	neuregulin 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.191011	0.0128446	0.0106445
Mm Hs	ATP13A2	Cajal-Retzius cells	HSA9947|CLN12|PARK9	0.034	ATPase cation transporting 13A2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.775281	0.00469925	0.0326475
Mm Hs	CNTNAP2	Cajal-Retzius cells	Caspr2|KIAA0868	0.037	contactin associated protein like 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.629214	0.0238095	0.0338807
Mm Hs	PNOC	Cajal-Retzius cells	PPNOC|N/OFQ|NOP	0.009	prepronociceptin	protein-coding gene	NA	Ectoderm	Brain	0.0	0.280899	0.00093985	0.00681508
Mm Hs	LHX1	Cajal-Retzius cells	LIM-1	0.011	LIM homeobox 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.752809	0.00657895	0.00402414
Mm Hs	LINGO2	Cajal-Retzius cells	LERN3|LRRN6C	0.019	leucine rich repeat and Ig domain containing 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.735955	0.00219298	0.0154475
Mm Hs	FAT3	Cajal-Retzius cells	KIAA1989|CDHF15|CDHR10	0.009	FAT atypical cadherin 3	protein-coding gene	NA	Ectoderm	Brain	0.0	0.544944	0.00250627	0.0046732
Mm Hs	SRGAP3	Cajal-Retzius cells	KIAA0411|MEGAP|WRP|ARHGAP14|SRGAP2	0.018	SLIT-ROBO Rho GTPase activating protein 3	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0100251	0.0
Mm Hs	CDH4	Cajal-Retzius cells	NA	0.017	cadherin 4	protein-coding gene	NA	Ectoderm	Brain	0.0	0.814607	0.000313283	0.0112287
Mm Hs	FLRT3	Cajal-Retzius cells	NA	0.027	fibronectin leucine rich transmembrane protein 3	protein-coding gene	NA	Ectoderm	Brain	0.0	0.831461	0.0153509	0.0210294
Mm Hs	EDIL3	Cajal-Retzius cells	DEL1	0.045	EGF like repeats and discoidin domains 3	protein-coding gene	NA	Ectoderm	Brain	0.0	0.713483	0.0222431	0.0432271
Mm	CAR10	Cajal-Retzius cells	NA	0.021	carbonic anhydrase 10	protein coding gene	NA	Ectoderm	Brain	0.0	0.764045	0.0	0.0179139
Mm Hs	ZCCHC12	Cajal-Retzius cells	FLJ16123|SIZN|SIZN1|PNMA7A	0.038	zinc finger CCHC-type containing 12	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.000313283	0.0
Mm Hs	RALGPS2	Cajal-Retzius cells	FLJ10244|FLJ25604	0.048	Ral GEF with PH domain and SH3 binding motif 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.023183	0.0
Mm Hs	FAM196A	Cajal-Retzius cells	NA	0.009	family with sequence similarity 196, member A	protein coding gene	NA	Ectoderm	Brain	0.0	0.803371	0.0	0.00259622
Mm Hs	SMAD1	Cajal-Retzius cells	MADR1|JV4-1|MADH1	0.036	SMAD family member 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0153509	0.0
Mm Hs	TBR1	Cajal-Retzius cells	NA	0.018	T-box, brain 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.00125313	0.0
Mm Hs	KCNH7	Cajal-Retzius cells	Kv11.3|HERG3|erg3	0.012	potassium voltage-gated channel subfamily H member 7	protein-coding gene	NA	Ectoderm	Brain	0.0	0.814607	0.000626566	0.0058415
Mm Hs	LHX5	Cajal-Retzius cells	NA	0.01	LIM homeobox 5	protein-coding gene	NA	Ectoderm	Brain	0.0	0.848315	0.00219298	0.00240151
Mm Hs	CALB2	Cajal-Retzius cells	CAL2	0.03	calbindin 2	protein-coding gene	1	Ectoderm	Brain	0.0	0.882023	0.00281955	0.0277147
Mm Hs	EMX2	Cajal-Retzius cells	NA	0.027	empty spiracles homeobox 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.865169	0.0112782	0.022003
Mm Hs	ZIC2	Cajal-Retzius cells	HPE5	0.01	Zic family member 2	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.0119048	0.0
Mm Hs	WNT7B	Cajal-Retzius cells	NA	0.008	Wnt family member 7B	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.00344612	0.0
Mm Hs	AATF	Cajal-Retzius cells	DED|CHE-1|BFR2	0.018	apoptosis antagonizing transcription factor	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0168539	0.0469925	0.0101253
Mm Hs	NANOS1	Cajal-Retzius cells	NOS1|ZC2HC12A	0.002	nanos C2HC-type zinc finger 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0337079	0.0	0.00168754
Mm Hs	TBCK	Cajal-Retzius cells	MGC16169|HSPC302	0.006	TBC1 domain containing kinase	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.00156642	0.0
Mm Hs	RGMB	Cajal-Retzius cells	FLJ90406|DRAGON	0.009	repulsive guidance molecule BMP co-receptor b	protein-coding gene	NA	Ectoderm	Brain	0.0	0.0	0.00626566	0.0
Mm Hs	DACT1	Cajal-Retzius cells	DAPPER1|THYEX3|HDPR1|DAPPER|FRODO	0.003	dishevelled binding antagonist of beta catenin 1	protein-coding gene	NA	Ectoderm	Brain	0.0	0.00561798	0.00783208	0.00266113
Mm	TRP73	Cajal-Retzius cells	NA	0.008	transformation related protein 73	protein coding gene	1	Ectoderm	Brain	NA	NA	NA	NA
Mm Hs	EOMES	Cajal-Retzius cells	TBR2	0.021	eomesodermin	protein-coding gene	1	Ectoderm	Brain	0.0	0.00561798	0.00219298	0.0263517
Mm Hs	CNR1	Cajal-Retzius cells	CB1K5|CB-R|CB1|CANN6|CB1A|CNR	0.065	cannabinoid receptor 1	protein-coding gene	1	Ectoderm	Brain	0.0	0.140449	0.00250627	0.0806127
Hs	HAR1A	Cajal-Retzius cells	HAR1F|NCRNA00064|LINC00064	0.0	highly accelerated region 1A	non-coding RNA	1	Ectoderm	Brain	0.0	0.0	0.0	0.0
Mm Hs	MYH6	Cardiac stem and precursor cells	NA	0.003	myosin heavy chain 6	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.0	0.00346487
Mm Hs	WT1	Cardiac stem and precursor cells	WIT-2|AWT1|NPHS4|GUD	0.01	Wilms tumor 1	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.0225564	0.0
Mm Hs	TBX18	Cardiac stem and precursor cells	NA	0.004	T-box 18	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.000313283	0.0
Mm Hs	FUT4	Cardiac stem and precursor cells	FUC-TIV|CD15|ELFT	0.001	fucosyltransferase 4	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.0	0.000705807
Hs	KITLG	Cardiac stem and precursor cells	SCF|Kitl|KL-1|FPH2|SLF|DFNA69	0.001	KIT ligand	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.00626566	0.0
Mm Hs	NKX2-5	Cardiac stem and precursor cells	CSX1|NKX2.5|NKX4-1|CSX|NKX2E	0.003	NK2 homeobox 5	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.000313283	0.00166827
Mm Hs	ISL1	Cardiac stem and precursor cells	Isl-1|ISLET1	0.028	ISL LIM homeobox 1	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.0134712	0.0313763
Mm Hs	GATA4	Cardiac stem and precursor cells	NA	0.008	GATA binding protein 4	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.00469925	0.00795637
Mm Hs	ETV2	Cardiac stem and precursor cells	ER71	0.002	ETS variant 2	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.0137845	0.0
Mm Hs	KIT	Cardiac stem and precursor cells	CD117|SCFR|C-Kit|PBT	0.015	KIT proto-oncogene receptor tyrosine kinase	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.00250627	0.0185435
Mm Hs	ABCG2	Cardiac stem and precursor cells	EST157481|MXR|BCRP|ABCP|CD338	0.038	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.00469925	0.0467116
Mm Hs	MESP1	Cardiac stem and precursor cells	MGC10676|bHLHc5	0.005	mesoderm posterior bHLH transcription factor 1	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.00689223	0.00494065
Mm Hs	BMP4	Cardiac stem and precursor cells	BMP2B	0.019	bone morphogenetic protein 4	protein-coding gene	NA	Mesoderm	Heart	0.0	0.0	0.0241228	0.0166185
Mm Hs	ADGRL2	Cardiac stem and precursor cells	KIAA0786|LEC1|LPHH1|LPHN2	0.021	adhesion G protein-coupled receptor L2	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.00407268	0.025409
Mm Hs	TBX3	Cardiac stem and precursor cells	TBX3-ISO|XHL|UMS	0.024	T-box 3	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.0303885	0.0
Mm Hs	TBX4	Cardiac stem and precursor cells	NA	0.0	T-box 4	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.0	0.0
Mm Hs	WNT5A	Cardiac stem and precursor cells	hWNT5A	0.015	Wnt family member 5A	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.00814536	0.0
Mm Hs	ANKRD1	Cardiac stem and precursor cells	C-193|ALRP|CVARP|MCARP	0.007	ankyrin repeat domain 1	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.00783208	0.00660892
Mm Hs	TNNC1	Cardiomyocytes	TNNC	0.005	troponin C1, slow skeletal and cardiac type	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.00093985	0.0
Mm Hs	ADM	Cardiomyocytes	AM	0.026	adrenomedullin	protein-coding gene	1	Mesoderm	Heart	0.0	0.0	0.0635965	0.0177778
Mm Hs	ALCAM 	Cardiomyocytes	CD166|MEMD	0.0	activated leukocyte cell adhesion molecule	protein-coding gene	1	Mesoderm	Heart	NA	NA	NA	NA
Mm Hs	NPPA	Cardiomyocytes	ANP|PND	0.0	natriuretic peptide A	protein-coding gene	1	Mesoderm	Heart	0.0	0.0833333	0.0	0.0
